unique_key,taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_census_tract,dropoff_census_tract,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_latitude,pickup_longitude,pickup_location,dropoff_latitude,dropoff_longitude,dropoff_location
04568cfdb8926dd5e6951bf0c5c9fdcc824030a8,d48cae652a1b1897292c32e638327292dd1a5e27bcbda5cb4ec9918f14e93545d93ae18d4e0c154a3e1a7dac55595881beaf7466c26d6c7257dc1219f461f754,2016-11-03 03:00:00 UTC,2016-11-03 03:15:00 UTC,801,23.72,,,6,16,12.75,4.72,0,2.5,19.97,Credit Card,Flash Cab,41.944.226.601,-87.655.998.182,POINT (-87.6559981815 41.9442266014),41.953.582.125,-8.772.345.239,POINT (-87.7234523905 41.9535821253)
045709b912a4a051466741c4e4eacecd2c42a486,e055d0eec9fc4dd6879a31c2f57953078a5a07378a669cd05b33ed1ea7090f1f7579d595eb5ece0abaa9a3e6eba3c5550278064f992c43c6f3fa3be07289b8bc,2014-08-08 16:00:00 UTC,2014-08-08 16:00:00 UTC,540,19.6,17031071800,17031320400,7,32,6.65,0,0,1,7.65,Cash,Blue Ribbon Taxi Association Inc.,41.914.585.709,-87.645.966.207,POINT (-87.6459662069 41.9145857091),41.877.406.123,-87.621.971.652,POINT (-87.6219716519 41.8774061234)
0459f6e491d4215138e04549ea29a94a4b31865d,18ef2c0a775680d8a4821ce443e80f5f7a98e7d1fc1b690736b3b170f54372409c8456cd12c94fa10bcbd3e64b481044664b79a4b48abc32c28d6f82857e2ddc,2016-01-09 22:45:00 UTC,2016-01-09 23:00:00 UTC,140,12.06,17031063000,17031062800,6,6,4.75,0,0,2,6.75,Cash,Flash Cab,41.936.310.131,-87.651.562.592,POINT (-87.6515625922 41.9363101308),41.936.159.071,-87.661.265.218,POINT (-87.6612652184 41.936159071)
045a39e4dc33d3fa99a07cdfdd9ee4e6033411b0,ce0730bc95b3154bf745392b58d3ebe7160eb13776b3357547854b7bb23edf7d1c2540aceb64d3264eb692fc38a3c592e4732a0b4b38a0161a04982255a684fc,2018-09-04 07:45:00 UTC,2018-09-04 07:45:00 UTC,479,17.99,17031081403,17031839100,8,32,7.75,2,0,0,9.75,Credit Card,Flash Cab,41.890.922.026,-87.618.868.355,POINT (-87.6188683546 41.8909220259),41.880.994.471,-87.632.746.489,POINT (-87.6327464887 41.8809944707)
04659fea02d8eae7a4b5c124e788054319dd8e69,917fab66af085c3073559657d23f1898029f717738310118c60d95a232c14ede9b7ddc11c1ae63d6d5e97c66b3aa13d28bcbb90edfb333d6a53aff88fcf6e85e,2016-09-13 12:15:00 UTC,2016-09-13 12:45:00 UTC,2171,28.87,,,4,28,22,3.3,0,0,25.3,Credit Card,Yellow Cab,41.975.170.943,-87.687.515.515,POINT (-87.68751551520002 41.9751709433),41.874.005.383,-8.766.351.755,POINT (-87.6635175498 41.874005383)
0468d9d9b77bf548638bd1159188318fd8e68766,4aafe0ae7158e66dd0bcabf4f7b549e8a71e2e91b6031d8fc641358107ae79b70d542618ef66e4f30ad59d6f94c9bff1b81fdc1d93d205ec62219e0deb770479,2017-10-13 10:15:00 UTC,2017-10-13 11:00:00 UTC,2220,28.89,17031839100,17031081402,32,8,3.25,0,0,2.5,5.75,Cash,Medallion Leasin,41.880.994.471,-87.632.746.489,POINT (-87.6327464887 41.8809944707),41.891.971.508,-87.612.945.414,POINT (-87.6129454143 41.8919715078)
046e4e8bf6b82fd67499fbbe2c8d24ca2a688817,0caf3d04eb4a2351620c2d5375659a683849bcb01a6ced23e0573796ab119ab77c5c9201881e1245a992bd453a8e82b23c7a36d07f11bc1d57f0cf51321c3638,2013-04-06 01:30:00 UTC,2013-04-06 01:30:00 UTC,540,20.05,17031062100,17031081300,6,8,10.65,0,0,0,10.65,Cash,Dispatch Taxi Affiliation,41.942.691.844,-87.651.770.507,POINT (-87.6517705068 41.9426918444),41.898.331.794,-87.620.762.865,POINT (-87.6207628651 41.8983317935)
0470fcabfaceed81b1f9111277b0346d5f09b632,eb7536e0b280d7842bd4448d3fc93ca078630c2f39f12279de652a8fbd162d414c7135f9ce6ce3672fe25ae365c4fafcd842b9ca8b370d54a62f71eab43679bb,2018-04-06 08:45:00 UTC,2018-04-06 09:15:00 UTC,1740,28.13,,,28,32,17.5,0,0,0,17.5,Unknown,Taxi Affiliation Services,41.874.005.383,-8.766.351.755,POINT (-87.6635175498 41.874005383),41.878.865.584,-87.625.192.142,POINT (-87.6251921424 41.8788655841)
04756d1b5f0dd1994d198edcf4ad911458cdaa0f,098ac56b572ab91b2ce62b528a811d7e5e1ff9abdd3f87cea3a7929359af142ee994bd5801d6982bef7fc1785da68451bd17ee066b5759757524ec4772971092,2018-04-24 08:00:00 UTC,2018-04-24 08:15:00 UTC,378,16.44,,,41,41,6.75,0,0,0,6.75,Cash,Taxi Affiliation Service Yellow,41.794.090.253,-87.592.310.855,POINT (-87.592310855 41.794090253),41.794.090.253,-87.592.310.855,POINT (-87.592310855 41.794090253)
04765ce51b6fa95c547a3c7a850f745b040b0034,ec8e6f51ec5dc998861a238f7cbaf9226d5433f774ac690d9e53c85425a854015bb87c3a2fe7b3511faf6d4d9f5eccdaef0c18fc287cf965f949d73f8de8cc0a,2016-06-01 18:30:00 UTC,2016-06-01 18:30:00 UTC,537,19.25,17031839100,17031833100,32,28,7,0,0,0,7,Cash,Yellow Cab,41.880.994.471,-87.632.746.489,POINT (-87.6327464887 41.8809944707),41.879.066.994,-87.657.005.027,POINT (-87.657005027 41.8790669938)
